"Ilgavaisis agurkas, 220 g";"Darþovës ir vaisiai";Darþovës;"Agurkai ir pomidorai";220;g;0,89;4,05;0
"Knyga.L.Lavaste.KUNIGAS RIÈARDAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;15,59;15,59;0
"Knyga.CARPE DIEM. ANGELØ ÁKVËPTI ITALIÐKOS VIRTUVËS RECEPTAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;23,49;23,49;0
"Knyga.J.Clear.ATOMINIAI ÁPROÈIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,99;16,99;0
"Knyga.P.Gregory.TIUDORØ SAULËLYDIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;20,49;20,49;0
"Knyga.Rgiordano.TAVO ANTRAS GYVENIMAS PRASIDEDA TADA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;10,15;10,15;0
"Knyga.K.Ishiguro.PALAIDOTAS MILÞINAS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;14,99;14,99;0
"Knyga.M.Seeck.RAGANØ MEDÞIOKLË, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;15,99;15,99;0
"Knyga.J.Murphy.JÛSØ PASÀMONËS GALIA (NAUJAS LEIDIMAS), 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;9,17;9,17;10,19
"Knyga.K.Swan.PARYÞIAUS PASLAPTIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;15,89;15,89;0
"Knyga KELIØ EISMO TAISYKLËS SU ILIUSTRACIJOMIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;9,84;9,84;0
"Knyga.J.Sincero.KAIP NUSTOTI ABEJOTI SAVIMI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;0;0;0
"Knyga.D.Dargis.VILNIAUS BOMBERIO IÐPAÞINTIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;16,99;16,99;0
"Knyga.L.Gounelle.DIENA, KAI IÐMOKAU GYVENTI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra suaugusiems";1;vnt.;8,69;8,69;0
